유형,이름,웹페이지
국내,AI-Hub,https://www.aihub.or.kr/
국내,KADX 농식 데이터 오픈마켓,https://openmarket.kadx.co.kr/
국내,KOSIS 국가통계포털,https://kosis.kr/index/index.do
국내,공공데이터포털,https://www.data.go.kr/
국내,국가공간정보포털,http://data.nsdi.go.kr/dataset
국내,국가교통 데이터 오픈마켓,https://www.bigdata-transportation.kr/
국내,국가연구데이터플랫폼 DataON,https://dataon.kisti.re.kr/
국내,문화 빅데이터 플랫폼,https://www.bigdata-culture.kr/bigdata/user/main.do
국내,스마트 치안 빅데이터플랫폼,https://www.bigdata-policing.kr/
국내,정보나루,https://www.data4library.kr/
국외,Kaggle,https://www.kaggle.com/